"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"74","Extra-nuclear estrogen signaling",0.000818843160090084,0.0231772557874279,0.477270815362862,-1.78635298588046,67,"down","*"
"75","Mitochondrial translation termination",0.000244272769989493,0.00989218834232564,0.49849310876659,1.78346669144751,82,"up","**"
"76","Mitochondrial translation initiation",0.000247198157628129,0.00989218834232564,0.49849310876659,1.78196519717583,82,"up","**"
"77","G alpha (s) signalling events",0.000204037641047991,0.00876984009022937,0.518848077743792,-1.77074731392554,104,"down","**"
"78","EML4 and NUDC in mitotic spindle formation",0.000329956344541736,0.0116060018080902,0.49849310876659,1.76329106030729,100,"up","*"
"79","Mitotic Spindle Checkpoint",0.000280446850758219,0.0103320181049179,0.49849310876659,1.76124987303274,101,"up","*"
"80","Anchoring of the basal body to the plasma membrane",0.000467318803932683,0.0154949563418251,0.49849310876659,1.76124411010472,86,"up","*"
"81","Peptide hormone metabolism",0.00195737951773664,0.0430828529000699,0.431707695803346,-1.75103095832226,54,"down","*"
"82","G1/S Transition",0.000252434086729077,0.00993050025929132,0.49849310876659,1.7346798969615,123,"up","**"
"83","Signaling by TGFB family members",0.000347908791353828,0.0120521836527199,0.49849310876659,-1.73083025480935,94,"down","*"
"84","Assembly of the pre-replicative complex",0.00165470091445294,0.0373284095214499,0.45505986738723,1.71971142182292,62,"up","*"
"85","Signaling by Interleukins",1.31831791230411e-07,2.85251049113424e-05,0.690132458796796,-1.70211148814572,365,"down","***"
"86","Mitotic G1 phase and G1/S transition",0.000286510427956153,0.0103904797388474,0.49849310876659,1.6998708274243,141,"up","*"
"87","Acrosome Reaction and Sperm:Oocyte Membrane Binding",0.00240150464694072,0.0499529345497905,0.431707695803346,-1.69928344268091,3,"down","*"
"88","S Phase",0.000219687219551948,0.00910525065321555,0.518848077743792,1.6940864262409,150,"up","**"
"89","GPCR ligand binding",2.64792258929659e-06,0.000307291416487869,0.627256739718528,-1.69406023146959,257,"down","***"
"90","Innate Immune System",2.82317552829984e-12,3.27629520059197e-09,0.898671232061694,-1.69103329193169,814,"down","***"
"91","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.0012091094302701,0.0289313710067723,0.45505986738723,-1.66962854752809,88,"down","*"
"92","Class A/1 (Rhodopsin-like receptors)",0.000104820574226829,0.00517635218681852,0.538434096309916,-1.66139065748935,183,"down","**"
"93","Signaling by NTRKs",0.00071853263191621,0.0205890646750311,0.477270815362862,-1.64562203613851,123,"down","*"
"94","Separation of Sister Chromatids",0.00020860012814007,0.00880292540751094,0.518848077743792,1.64117650909466,164,"up","**"
"95","G alpha (q) signalling events",0.000273688577218895,0.0103146574770069,0.49849310876659,-1.63367412716127,141,"down","*"
"96","Signaling by GPCR",3.62280638184578e-08,1.20121908746629e-05,0.719512826338911,-1.63111367172881,536,"down","***"
"97","M Phase",1.61286235138893e-05,0.00133694768484775,0.575610261071129,1.62827777749455,315,"up","**"
"98","Toll Like Receptor 9 (TLR9) Cascade",0.00241048197741341,0.0499529345497905,0.431707695803346,-1.61118747146588,81,"down","*"
"99","Hemostasis",1.7488912649125e-07,3.12244355835531e-05,0.690132458796796,-1.59894953012705,488,"down","***"
"100","RHO GTPases Activate Formins",0.00201997749845833,0.0438165212516054,0.431707695803346,1.59770504449418,120,"up","*"
"101","Intra-Golgi and retrograde Golgi-to-ER traffic",0.000374932320848036,0.0127973223042396,0.49849310876659,1.59128784224911,184,"up","*"
"102","Organelle biogenesis and maintenance",0.000266768712661594,0.0103146574770069,0.49849310876659,1.58863656858118,236,"up","*"
"103","GPCR downstream signalling",2.9822999756536e-07,4.61461216232801e-05,0.674962860011025,-1.58150094687091,489,"down","***"
"104","Mitotic Metaphase and Anaphase",0.000503278121482474,0.0162237294439003,0.477270815362862,1.57064192575186,207,"up","*"
"105","ESR-mediated signaling",0.00101265607573526,0.0267088039975176,0.45505986738723,-1.56776565905784,148,"down","*"
"106","Mitotic Anaphase",0.000908913797556736,0.0254167340256528,0.477270815362862,1.56260302664102,206,"up","*"
"107","Mitotic G2-G2/M phases",0.00196759259259259,0.0430828529000699,0.354819512103747,1.53409665887599,176,"up","*"
"108","Alanine metabolism",0.000648512446800252,0.0198052288029393,0.477270815362862,1.50125255874721,2,"up","*"
"109","Intracellular signaling by second messengers",0.00117335218626899,0.0288670824056204,0.45505986738723,-1.38697390246983,267,"down","*"
"110","Cytokine Signaling in Immune system",3.50782172230211e-05,0.00208760364550338,0.557332238758646,-1.37039307555296,710,"down","**"
"111","Latent infection - Other responses of Mtb to phagocytosis",0.00214241681283391,0.0456197194732798,0.431707695803346,1.33281643852147,1,"up","*"
"112","Mtb iron assimilation by chelation",0.00214241681283391,0.0456197194732798,0.431707695803346,1.33281643852147,1,"up","*"
