"","pathway","pval","padj","log2err","NES","size","state","pvlabel"
"59","IRAK4 deficiency (TLR2/4)",0.00166846169932409,0.0322986377294155,0.45505986738723,-1.885970198006,10,"down","*"
"60","Caspase activation via extrinsic apoptotic signalling pathway",0.00152106068994679,0.0306349847494908,0.45505986738723,-1.88030124090758,24,"down","*"
"61","MET activates PTK2 signaling",0.00190173284353289,0.0348524650058005,0.45505986738723,-1.87841321578578,28,"down","*"
"62","NOTCH4 Intracellular Domain Regulates Transcription",0.00210857097769968,0.0365538088148981,0.431707695803346,-1.87788809302889,16,"down","*"
"63","MyD88 deficiency (TLR2/4)",0.00144871369200676,0.0295207184783483,0.45505986738723,-1.87669144143835,9,"down","*"
"64","Trafficking and processing of endosomal TLR",0.00186302035744541,0.0348524650058005,0.45505986738723,-1.87629365333341,10,"down","*"
"65","Extra-nuclear estrogen signaling",0.000174623945277713,0.00633830351375199,0.518848077743792,-1.86799566408737,67,"down","**"
"66","Regulation of actin dynamics for phagocytic cup formation",0.000428029330490128,0.0127399831663816,0.49849310876659,-1.86684072123554,55,"down","*"
"67","Integrin signaling",0.00105980033046165,0.0233731310745326,0.45505986738723,-1.86610493514434,26,"down","*"
"68","Signal Transduction",4.55184678483066e-26,1.05739400811616e-22,1.32671609800481,-1.85808806603888,1901,"down","***"
"69","FCGR3A-mediated phagocytosis",0.000500767523242971,0.0135265460057375,0.477270815362862,-1.85270815136377,55,"down","*"
"70","Leishmania phagocytosis",0.000500767523242971,0.0135265460057375,0.477270815362862,-1.85270815136377,55,"down","*"
"71","Parasite infection",0.000500767523242971,0.0135265460057375,0.477270815362862,-1.85270815136377,55,"down","*"
"72","Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",0.00224250972232859,0.0380244531749586,0.431707695803346,-1.85137080399446,7,"down","*"
"73","MET promotes cell motility",0.000757831444679596,0.0179636984284766,0.477270815362862,-1.84961155860508,39,"down","*"
"74","Signaling by NTRKs",3.66106725224026e-05,0.00160465268433097,0.557332238758646,-1.84562284334404,123,"down","**"
"75","RHO GTPases Activate WASPs and WAVEs",0.000971101322766562,0.0219016346872497,0.477270815362862,-1.84538838232367,33,"down","*"
"76","Muscle contraction",1.16391376153221e-05,0.000675942917009833,0.593325476396405,-1.83648107656743,149,"down","***"
"77","Metabolism of fat-soluble vitamins",0.00130804652038427,0.0271302863111845,0.45505986738723,-1.83438801190595,31,"down","*"
"78","Defective B3GALTL causes Peters-plus syndrome (PpS)",0.00112857325021296,0.0242747746318954,0.45505986738723,-1.8322655062351,33,"down","*"
"79","Signaling by NOTCH1",0.000428512251885942,0.0127399831663816,0.49849310876659,-1.82315851124032,65,"down","*"
"80","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux",0.00155059492462657,0.0306349847494908,0.45505986738723,-1.82139099795837,31,"down","*"
"81","Potential therapeutics for SARS",0.000558902417904923,0.0145207489478578,0.477270815362862,-1.81556246333186,71,"down","*"
"82","Diseases associated with glycosaminoglycan metabolism",0.00195777717213548,0.0352551656656645,0.431707695803346,-1.80924941074302,36,"down","*"
"83","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",0.000587580887257267,0.0145207489478578,0.477270815362862,-1.80764562033772,50,"down","*"
"84","Constitutive Signaling by NOTCH1 PEST Domain Mutants",0.000587580887257267,0.0145207489478578,0.477270815362862,-1.80764562033772,50,"down","*"
"85","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",0.000587580887257267,0.0145207489478578,0.477270815362862,-1.80764562033772,50,"down","*"
"86","Signaling by NOTCH1 PEST Domain Mutants in Cancer",0.000587580887257267,0.0145207489478578,0.477270815362862,-1.80764562033772,50,"down","*"
"87","Signaling by NOTCH1 in Cancer",0.000587580887257267,0.0145207489478578,0.477270815362862,-1.80764562033772,50,"down","*"
"88","Terminal pathway of complement",0.000608219468987209,0.0148725665942872,0.477270815362862,1.79678749676933,5,"up","*"
"89","Peptide hormone metabolism",0.0011262769473864,0.0242747746318954,0.45505986738723,-1.79651400636527,54,"down","*"
"90","Signaling by TGFB family members",0.000181659000256801,0.00649221319379306,0.518848077743792,-1.78155951678218,94,"down","**"
"91","EPHB-mediated forward signaling",0.00176684856916234,0.0339205721170588,0.45505986738723,-1.78070715086397,39,"down","*"
"92","Fcgamma receptor (FCGR) dependent phagocytosis",0.000458140074735741,0.0130885561458791,0.49849310876659,-1.77801548776545,76,"down","*"
"93","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",0.00191662702626161,0.0348524650058005,0.45505986738723,-1.77694667159045,33,"down","*"
"94","Infectious disease",7.47221568892141e-11,1.23985407466889e-08,0.839088935621274,-1.77301441280762,670,"down","***"
"95","Anti-inflammatory response favouring Leishmania parasite infection",0.000220208232080765,0.00752270181064142,0.518848077743792,-1.77049983760434,111,"down","**"
"96","Leishmania parasite growth and survival",0.000220208232080765,0.00752270181064142,0.518848077743792,-1.77049983760434,111,"down","**"
"97","Signaling by Interleukins",3.30961354541873e-07,2.77563539108775e-05,0.674962860011025,-1.76885991879403,365,"down","***"
"98","Developmental Biology",3.93180166894226e-11,7.3808261640257e-09,0.851339057116899,-1.76456400781654,733,"down","***"
"99","Immune System",2.14597951153816e-19,1.24627760132579e-16,1.14219120216838,-1.76041511816147,1697,"down","***"
"100","Nuclear Events (kinase and transcription factor activation)",0.00155614644874727,0.0306349847494908,0.45505986738723,-1.75969435951444,54,"down","*"
"101","Synthesis of substrates in N-glycan biosythesis",0.00160773089747929,0.0313845283600368,0.45505986738723,-1.75651313132616,54,"down","*"
"102","Glycosaminoglycan metabolism",0.000462015326716353,0.0130885561458791,0.49849310876659,-1.75494421816716,105,"down","*"
"103","Signaling by Nuclear Receptors",1.4638612056514e-05,0.00079082548389028,0.593325476396405,-1.75216535372165,206,"down","***"
"104","Binding and Uptake of Ligands by Scavenger Receptors",0.00283041902326589,0.0459753655583496,0.431707695803346,-1.74796776811993,37,"down","*"
"105","Interleukin-4 and Interleukin-13 signaling",0.000563217050354988,0.0145207489478578,0.477270815362862,-1.73913443124378,89,"down","*"
"106","Oncogenic MAPK signaling",0.00124570480836708,0.0260700204489795,0.45505986738723,-1.73286047651548,77,"down","*"
"107","Clathrin-mediated endocytosis",0.000101990782381677,0.00401567097411248,0.538434096309916,-1.73147373760183,126,"down","**"
"108","SARS-CoV Infections",0.000115077870807886,0.00439857118099039,0.538434096309916,-1.72852155279495,133,"down","**"
"109","Regulation of PTEN gene transcription",0.00308441715741755,0.0494144900460757,0.431707695803346,-1.72849615525006,53,"down","*"
"110","VEGFA-VEGFR2 Pathway",0.000395173376502091,0.0122398367148581,0.49849310876659,-1.7266565432893,91,"down","*"
"111","ADORA2B mediated anti-inflammatory cytokines production",0.000818360470142461,0.0188638172106013,0.477270815362862,-1.71910975736638,79,"down","*"
"112","ER-Phagosome pathway",0.00208970416754534,0.036499118655698,0.431707695803346,-1.69482203740039,69,"down","*"
"113","Unfolded Protein Response (UPR)",0.00228536614928903,0.0384703301796986,0.431707695803346,-1.68898650077519,83,"down","*"
"114","Chylomicron remodeling",0.000145866220457073,0.00537852746225048,0.518848077743792,-1.68340894369766,3,"down","**"
"115","Signaling by NOTCH",0.000258517139457651,0.00857907592800175,0.49849310876659,-1.6825778464035,161,"down","**"
"116","Signaling by NOTCH4",0.00201986671382522,0.0358179418031754,0.431707695803346,-1.6820225658035,73,"down","*"
"117","Disease",1.54259002571656e-13,5.9723943828993e-11,0.943632225232838,-1.67867297361605,1273,"down","***"
"118","G alpha (12/13) signalling events",0.00215959410384159,0.0368877728178237,0.431707695803346,-1.65763407012966,70,"down","*"
"119","Vesicle-mediated transport",8.67630606479505e-08,8.3979412452162e-06,0.704975715167238,-1.65113914788787,597,"down","***"
"120","Beta-catenin independent WNT signaling",0.000437887260489964,0.0127399831663816,0.49849310876659,-1.65095379495999,134,"down","*"
"121","ESR-mediated signaling",0.000808580468201064,0.0188638172106013,0.477270815362862,-1.63422729146665,148,"down","*"
"122","Programmed Cell Death",0.000390448227312842,0.0122398367148581,0.49849310876659,-1.63313262786481,164,"down","*"
"123","Diseases of signal transduction by growth factor receptors and second messengers",3.42719228590916e-05,0.00159266749355368,0.557332238758646,-1.62037546668917,347,"down","**"
"124","Toll-like Receptor Cascades",0.000661047382289446,0.0158618960145315,0.477270815362862,-1.61810344039422,133,"down","*"
"125","Rho GTPase cycle",0.00189989569754092,0.0348524650058005,0.45505986738723,-1.59672497853491,123,"down","*"
"126","Signaling by GPCR",1.69579460736779e-06,0.000112552310654725,0.643551836150722,-1.59583354783999,536,"down","***"
"127","G alpha (s) signalling events",0.00199221777989568,0.0355993992515205,0.431707695803346,-1.59547208286385,104,"down","*"
"128","Transcriptional regulation by RUNX2",0.00274598369572359,0.0449219727124358,0.431707695803346,-1.59516987362941,106,"down","*"
"129","Cytokine Signaling in Immune system",1.48954367691776e-07,1.38408398459198e-05,0.690132458796796,-1.59420595312048,710,"down","***"
"130","Apoptosis",0.00106431558269879,0.0233731310745326,0.45505986738723,-1.59057080659638,154,"down","*"
"131","GPCR downstream signalling",7.156042296699e-06,0.000449283412303561,0.610526878385931,-1.57744456421655,489,"down","***"
"132","PTEN Regulation",0.00268722168173336,0.0442724536643022,0.431707695803346,-1.57568014190653,123,"down","*"
"133","Membrane Trafficking",4.72433365188054e-06,0.000304850752036625,0.610526878385931,-1.54873789368628,562,"down","***"
"134","Cellular responses to external stimuli",8.050483090353e-05,0.00322435727911897,0.538434096309916,-1.51156547964663,463,"down","**"
"135","MAPK family signaling cascades",0.000820165965678315,0.0188638172106013,0.477270815362862,-1.49918653180229,282,"down","*"
"136","RAF/MAP kinase cascade",0.00154048394662633,0.0306349847494908,0.45505986738723,-1.49648919131557,243,"down","*"
"137","MAPK1/MAPK3 signaling",0.00188393530587554,0.0348524650058005,0.45505986738723,-1.48518267133084,249,"down","*"
"138","GPCR ligand binding",0.0026574870618536,0.044095303176328,0.431707695803346,-1.45974663007038,257,"down","*"
"139","Cellular responses to stress",0.000316548285520895,0.0102130787120144,0.49849310876659,-1.44898981798747,455,"down","*"
"140","Asparagine N-linked glycosylation",0.00239451234802059,0.0400176416147614,0.431707695803346,-1.44073132226631,268,"down","*"
"141","Neuronal System",0.00192041133049611,0.0348524650058005,0.45505986738723,-1.44020017671812,293,"down","*"
"142","Metabolism of proteins",5.88244174779978e-07,4.2702850562934e-05,0.659444398037935,-1.41671750201543,1616,"down","***"
"143","Post-translational protein modification",1.25390308817004e-05,0.000710443139955852,0.593325476396405,-1.40577642452754,1147,"down","***"
"144","Transport of small molecules",0.00212986004445642,0.0366493695057204,0.431707695803346,-1.35226416876923,561,"down","*"
"145","Adaptive Immune System",0.00284995808885163,0.0459753655583496,0.354819512103747,-1.32527823916819,637,"down","*"
